host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
306636284024200,104057,-0.5527,-9.0652,4.2006,0.7245,-1.3622,-0.8552,17.95
306636295226300,104069,-0.5492,-9.0377,4.2006,2.2248,-4.9798,-1.6945,17.95
306636306344800,104080,-0.5408,-9.0748,4.2138,0.7526,-1.9352,-0.4911,17.98
306636318217200,104091,-0.5587,-9.0353,4.2018,0.1197,-0.3225,-0.0880,17.98
306636329255900,104102,-0.5563,-9.0461,4.2209,0.0208,-0.0623,-0.0305,17.96
306636340438500,104114,-0.5683,-9.0413,4.2233,0.0208,-0.0623,-0.0305,18.00
306636351358900,104125,-0.5575,-9.0616,4.2281,0.0208,-0.0611,-0.0305,18.00
306636363242900,104136,-0.5503,-9.0437,4.2341,0.0208,-0.0611,-0.0305,18.00
306636374197100,104147,-0.5575,-9.0592,4.2305,0.0208,-0.0611,-0.0305,18.00
306636385390300,104159,-0.5456,-9.0473,4.2281,0.0208,-0.0599,-0.0293,17.99
306636396642400,104170,-0.5563,-9.0568,4.2317,0.0208,-0.0599,-0.0305,17.99
306636408342900,104181,-0.5563,-9.0509,4.2269,0.0208,-0.0599,-0.0293,17.98
306636419380100,104193,-0.5515,-9.0485,4.2473,0.0208,-0.0611,-0.0305,17.98
306636430326700,104204,-0.5527,-9.0485,4.2508,0.0220,-0.0611,-0.0305,18.00
306636441476500,104215,-0.5623,-9.0509,4.2604,0.0208,-0.0611,-0.0293,18.01
306636453315900,104226,-0.5611,-9.0461,4.2449,0.0208,-0.0611,-0.0305,18.01
306636464459000,104238,-0.5480,-9.0532,4.2544,0.0208,-0.0611,-0.0305,18.05
306636475333600,104249,-0.5480,-9.0497,4.2389,0.0208,-0.0599,-0.0293,18.05
306636487170500,104260,-0.5563,-9.0700,4.2425,0.0208,-0.0611,-0.0293,18.05
306636498261100,104271,-0.5515,-9.0532,4.2413,0.0208,-0.0611,-0.0293,18.05
306636509404900,104283,-0.5659,-9.0532,4.2556,0.0208,-0.0611,-0.0293,18.07
