host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
319061130305700,610046,-3.3272,3.4241,-8.2935,0.0269,-0.0648,-0.0367,20.11
319061141457300,610058,-3.3511,3.4134,-8.3175,0.0305,-0.0635,-0.0403,20.11
319061152526400,610069,-3.4146,3.4193,-8.3450,0.0330,-0.0635,-0.0428,20.14
319061164300100,610080,-3.4720,3.4002,-8.3569,0.0305,-0.0635,-0.0452,20.14
319061175252200,610092,-3.5821,3.3918,-8.3629,0.0232,-0.0635,-0.0428,20.16
319061186394000,610103,-3.6981,3.3643,-8.3797,0.0147,-0.0672,-0.0342,20.16
319061198086300,610114,-3.7926,3.3236,-8.0375,0.0098,-0.0709,-0.0257,20.13
319061209237600,610125,-3.8812,3.3260,-8.2445,-0.0049,-0.0709,0.0159,20.12
319061220378700,610137,-3.8955,3.3476,-8.2050,-0.0159,-0.0635,0.0367,20.12
319061231600400,610148,-3.8620,3.3105,-8.1906,-0.0159,-0.0476,0.0489,20.14
319061243319300,610159,-3.7771,3.2961,-8.2421,-0.0037,-0.0220,0.0599,20.14
319061254409800,610170,-3.5964,3.3224,-8.3067,0.0086,0.0037,0.0709,20.13
319061265404500,610182,-3.4050,3.3667,-8.3904,0.0110,0.0195,0.0843,20.13
319061276702700,610193,-3.2148,3.4301,-8.4562,0.0024,0.0244,0.0892,20.14
319061288329000,610204,-3.0449,3.4780,-8.5376,-0.0073,0.0232,0.0794,20.14
319061299425100,610215,-2.8439,3.5462,-8.6333,-0.0086,0.0293,0.0391,20.12
319061310626100,610227,-2.7984,3.5474,-8.6883,-0.0183,0.0183,0.0147,20.13
319061321578600,610238,-2.8128,3.5378,-8.6369,-0.0293,-0.0073,-0.0049,20.13
319061333314700,610249,-2.8869,3.5139,-8.5005,-0.0464,-0.0391,-0.0171,20.10
319061344464500,610260,-3.0090,3.4624,-8.3282,-0.0660,-0.0672,-0.0257,20.10
319061355609900,610272,-3.0927,3.4493,-8.1404,-0.0684,-0.0782,-0.0293,20.11
319061367359300,610284,-3.1717,3.4947,-8.0590,-0.0623,-0.0709,-0.0293,20.11
319061378253500,610295,-3.2471,3.5641,-8.1105,-0.0513,-0.0550,-0.0354,20.12
319061389473400,610307,-3.2578,3.5880,-8.2158,-0.0012,-0.0183,-0.0599,20.15
319061401249600,610318,-3.2423,3.6024,-8.3450,0.0195,-0.0037,-0.0696,20.15
319061412375700,610329,-3.2207,3.5761,-8.4503,0.0244,0.0073,-0.0757,20.10
319061423463300,610340,-3.1872,3.5318,-8.5340,0.0147,0.0134,-0.0782,20.10
319061434572600,610352,-3.1621,3.5079,-8.5902,0.0012,0.0134,-0.0745,20.11
319061446306900,610363,-3.1406,3.5246,-8.5902,-0.0122,0.0049,-0.0696,20.11
319061457433600,610374,-3.1262,3.5474,-8.5508,-0.0232,-0.0098,-0.0623,20.13
319061468548400,610385,-3.1621,3.5713,-8.3593,-0.0354,-0.0281,-0.0550,20.13
319061479557800,610397,-3.2064,3.5844,-8.2768,-0.0562,-0.0440,-0.0562,20.11
319061491334400,610408,-3.2662,3.6048,-8.2361,-0.0513,-0.0342,-0.0599,20.12
319061502314400,610419,-3.3248,3.5821,-8.2325,-0.0391,-0.0208,-0.0660,20.12
319061513594600,610430,-3.3559,3.5833,-8.2636,-0.0281,-0.0073,-0.0672,20.12
319061525356500,610442,-3.3511,3.5880,-8.2708,-0.0147,-0.0024,-0.0635,20.12
319061536345700,610453,-3.3476,3.5844,-8.2875,-0.0086,-0.0012,-0.0599,20.12
319061547587300,610464,-3.3332,3.5653,-8.3103,-0.0024,-0.0049,-0.0586,20.12
319061558536900,610476,-3.3296,3.4828,-8.3043,-0.0073,-0.0183,-0.0501,20.13
319061570243200,610487,-3.2961,3.4792,-8.2804,-0.0122,-0.0281,-0.0440,20.12
319061581244900,610498,-3.2447,3.5198,-8.2564,-0.0110,-0.0367,-0.0367,20.12
319061592518500,610509,-3.1920,3.5641,-8.2349,-0.0061,-0.0476,-0.0342,20.08
319061604348200,610521,-3.1813,3.5916,-8.1954,-0.0012,-0.0611,-0.0391,20.08
319061615429400,610532,-3.1884,3.5916,-8.1500,0.0098,-0.0696,-0.0464,20.10
319061626544800,610543,-3.1753,3.6000,-8.1595,0.0269,-0.0684,-0.0550,20.10
319061637471600,610554,-3.1681,3.5940,-8.2253,0.0342,-0.0623,-0.0611,20.07
319061649387900,610566,-3.1944,3.6203,-8.2696,0.0538,-0.0611,-0.0757,20.09
319061660470500,610577,-3.2315,3.5785,-8.3198,0.0635,-0.0660,-0.0819,20.09
319061671450000,610588,-3.2662,3.5438,-8.3486,0.0684,-0.0733,-0.0806,20.11
319061683366500,610599,-3.3021,3.5246,-8.3653,0.0648,-0.0855,-0.0770,20.11
319061694244500,610611,-3.3631,3.5127,-8.3462,0.0599,-0.0965,-0.0721,20.11
319061705685300,610622,-3.4086,3.4624,-8.2899,0.0550,-0.1014,-0.0660,20.11
319061716498200,610633,-3.4361,3.4828,-8.2887,0.0525,-0.1100,-0.0525,20.11
319061728329100,610644,-3.5270,3.4193,-8.2050,0.0440,-0.1234,-0.0428,20.11
319061739388900,610656,-3.5809,3.4134,-8.2062,0.0574,-0.1246,-0.0391,20.10
319061750471200,610667,-3.6359,3.3428,-8.2229,0.0501,-0.1185,-0.0318,20.09
319061762260000,610678,-3.6239,3.3715,-8.1930,0.0562,-0.1075,-0.0220,20.09
319061773267100,610690,-3.5761,3.4205,-8.2158,0.0550,-0.0965,-0.0073,20.11
319061784478200,610701,-3.5019,3.4600,-8.2325,0.0586,-0.0892,0.0024,20.11
319061795472600,610712,-3.4110,3.4971,-8.2588,0.0660,-0.0794,0.0049,20.10
319061807253500,610723,-3.3308,3.5079,-8.2947,0.0635,-0.0684,0.0098,20.10
319061818385700,610735,-3.1693,3.5701,-8.4048,0.0611,-0.0550,0.0122,20.08
319061829401200,610746,-3.1190,3.5653,-8.4586,0.0562,-0.0342,-0.0061,20.11
319061840575100,610757,-3.0724,3.5366,-8.4766,0.0538,-0.0354,-0.0171,20.11
319061852199200,610768,-3.0664,3.5390,-8.4933,0.0513,-0.0415,-0.0269,20.12
319061863358400,610780,-3.0736,3.5115,-8.4730,0.0452,-0.0476,-0.0379,20.12
319061874499200,610791,-3.1262,3.4445,-8.4467,0.0354,-0.0525,-0.0489,20.10
319061885501900,610802,-3.1717,3.4134,-8.4335,0.0342,-0.0513,-0.0550,20.10
319061897448100,610813,-3.2004,3.4217,-8.4383,0.0293,-0.0476,-0.0599,20.15
319061908459400,610825,-3.2518,3.4421,-8.3474,0.0159,-0.0476,-0.0696,20.15
319061919600200,610836,-3.2901,3.4540,-8.3234,0.0171,-0.0489,-0.0721,20.09
319061931319600,610847,-3.3392,3.4445,-8.2935,0.0220,-0.0501,-0.0745,20.09
319061942312400,610859,-3.4217,3.4158,-8.2792,0.0257,-0.0513,-0.0721,20.09
319061953322500,610870,-3.4636,3.3452,-8.3186,0.0232,-0.0452,-0.0660,20.12
319061964527400,610881,-3.4780,3.3667,-8.3689,0.0220,-0.0379,-0.0562,20.12
319061976113200,610892,-3.4768,3.3858,-8.3988,0.0171,-0.0354,-0.0525,20.14
319061987343900,610904,-3.4851,3.3739,-8.3976,0.0159,-0.0391,-0.0525,20.14
319061998394600,610915,-3.5246,3.3464,-8.3510,0.0159,-0.0513,-0.0354,20.11
319062009575400,610926,-3.5163,3.3248,-8.2851,0.0000,-0.0562,-0.0147,20.08
319062021277100,610937,-3.4828,3.3894,-8.2732,-0.0024,-0.0562,0.0098,20.08
319062032165200,610949,-3.4349,3.4516,-8.2959,0.0012,-0.0501,0.0220,20.12
319062043344100,610960,-3.3631,3.4684,-8.3474,0.0073,-0.0440,0.0269,20.12
319062054373700,610971,-3.2949,3.5043,-8.3844,0.0147,-0.0367,0.0293,20.09
319062066117300,610982,-3.2315,3.5354,-8.4383,0.0171,-0.0318,0.0269,20.09
319062077219800,610994,-3.1801,3.5174,-8.4610,0.0110,-0.0281,0.0208,20.11
319062088103500,611005,-3.0867,3.5486,-8.4479,0.0012,-0.0318,0.0159,20.13
319062100087500,611016,-3.0688,3.5629,-8.3976,-0.0049,-0.0379,0.0134,20.13
319062111326900,611027,-3.0520,3.5653,-8.3545,-0.0049,-0.0415,0.0110,20.11
319062122458700,611039,-3.0173,3.5785,-8.3617,-0.0086,-0.0415,0.0086,20.11
319062133415000,611050,-2.9946,3.6156,-8.3665,-0.0037,-0.0415,0.0000,20.16
319062145235200,611061,-3.0018,3.5713,-8.3545,-0.0024,-0.0415,-0.0195,20.16
319062156173500,611073,-3.0138,3.5222,-8.3474,0.0061,-0.0403,-0.0367,20.12
319062167429500,611084,-3.0341,3.5127,-8.3964,0.0159,-0.0415,-0.0464,20.12
319062178539800,611095,-3.1561,3.4959,-8.3677,0.0208,-0.0538,-0.0648,20.12
319062190363200,611106,-3.2136,3.4863,-8.3510,0.0232,-0.0623,-0.0696,20.12
319062201407800,611118,-3.2937,3.4851,-8.3067,0.0232,-0.0745,-0.0709,20.12
319062212375100,611129,-3.3906,3.4576,-8.2205,0.0171,-0.0880,-0.0635,20.11
319062224213600,611140,-3.4636,3.4373,-8.1655,0.0134,-0.0977,-0.0513,20.11
319062235318100,611151,-3.4959,3.4457,-8.1428,0.0195,-0.1014,-0.0379,20.11
319062246427100,611163,-3.5043,3.4552,-8.1464,0.0293,-0.0965,-0.0281,20.11
319062257508700,611174,-3.4373,3.4672,-8.2959,0.0440,-0.0819,-0.0208,20.13
319062269215200,611185,-3.3643,3.4636,-8.3952,0.0623,-0.0550,-0.0183,20.09
319062280392900,611196,-3.2794,3.4564,-8.5017,0.0635,-0.0464,-0.0183,20.09
319062291465200,611208,-3.2040,3.4708,-8.5484,0.0574,-0.0464,-0.0134,20.15
319062303216200,611219,-3.1322,3.4863,-8.5496,0.0428,-0.0550,-0.0086,20.15
319062314307900,611231,-3.1298,3.5079,-8.5412,0.0220,-0.0648,-0.0086,20.11
319062325486900,611243,-3.1478,3.5342,-8.4993,0.0098,-0.0770,-0.0110,20.11
319062336565600,611254,-3.2219,3.5306,-8.4287,0.0037,-0.0867,-0.0147,20.12
319062348285600,611265,-3.4768,3.4756,-8.2863,0.0000,-0.0965,-0.0232,20.12
319062359322300,611276,-3.6168,3.4481,-8.2002,0.0037,-0.1051,-0.0147,20.12
319062370449300,611288,-3.6921,3.4146,-8.1141,0.0049,-0.1014,0.0037,20.14
319062381457800,611299,-3.6790,3.4277,-8.0686,0.0122,-0.0904,0.0257,20.14
319062393273800,611310,-3.6048,3.4708,-8.1105,0.0244,-0.0733,0.0464,20.12
319062404373500,611321,-3.4828,3.4947,-8.1894,0.0354,-0.0586,0.0550,20.12
319062415413300,611333,-3.3296,3.5031,-8.2612,0.0476,-0.0476,0.0538,20.12
319062426649800,611344,-3.2195,3.4839,-8.3318,0.0599,-0.0440,0.0476,20.12
319062438373700,611355,-3.0808,3.4217,-8.4383,0.0660,-0.0476,0.0391,20.16
319062449365400,611366,-3.0054,3.4552,-8.4538,0.0489,-0.0513,0.0391,20.14
319062460574800,611378,-2.9527,3.4911,-8.4586,0.0354,-0.0574,0.0379,20.14
319062472224600,611389,-2.9300,3.5474,-8.4586,0.0269,-0.0611,0.0269,20.12
319062483365300,611400,-2.9348,3.5521,-8.4550,0.0232,-0.0635,0.0073,20.12
319062494498000,611411,-2.9671,3.5366,-8.4646,0.0269,-0.0648,-0.0134,20.14
319062505504700,611423,-3.0257,3.5198,-8.4885,0.0318,-0.0660,-0.0305,20.14
319062517295200,611434,-3.0915,3.5043,-8.4718,0.0281,-0.0684,-0.0415,20.10
319062528545300,611445,-3.2435,3.5055,-8.3521,0.0171,-0.0770,-0.0489,20.12
319062539544800,611457,-3.3236,3.4816,-8.3175,0.0122,-0.0745,-0.0489,20.12
319062550706300,611468,-3.3751,3.4935,-8.3330,0.0171,-0.0648,-0.0476,20.13
319062562411700,611479,-3.4277,3.4887,-8.3761,0.0220,-0.0562,-0.0501,20.13
319062573449600,611490,-3.4564,3.4552,-8.3928,0.0257,-0.0525,-0.0489,20.10
319062584564300,611502,-3.4648,3.4217,-8.3677,0.0220,-0.0501,-0.0415,20.10
319062596115600,611513,-3.4361,3.4229,-8.3378,0.0159,-0.0501,-0.0257,20.10
319062607098700,611524,-3.3870,3.4385,-8.2720,0.0086,-0.0538,-0.0098,20.10
319062618338800,611535,-3.2662,3.4804,-8.2923,0.0086,-0.0501,0.0012,20.10
319062629562600,611547,-3.2112,3.5163,-8.3151,0.0147,-0.0464,-0.0061,20.16
319062641185100,611558,-3.1872,3.5079,-8.3270,0.0208,-0.0464,-0.0159,20.16
319062652263800,611569,-3.1753,3.4684,-8.3342,0.0257,-0.0464,-0.0244,20.12
319062663154300,611580,-3.1609,3.4636,-8.3414,0.0305,-0.0452,-0.0293,20.12
319062675318200,611592,-3.1226,3.4839,-8.3450,0.0318,-0.0464,-0.0293,20.14
319062686135600,611603,-3.1059,3.5234,-8.3545,0.0269,-0.0476,-0.0305,20.14
319062697196400,611614,-3.0999,3.5127,-8.3892,0.0257,-0.0464,-0.0403,20.12
319062708427200,611625,-3.1250,3.5139,-8.4383,0.0354,-0.0428,-0.0611,20.13
319062720183000,611637,-3.1753,3.4851,-8.4718,0.0318,-0.0452,-0.0672,20.13
319062731144200,611648,-3.2207,3.4732,-8.4778,0.0257,-0.0489,-0.0696,20.09
319062742270800,611659,-3.2865,3.4493,-8.4634,0.0195,-0.0525,-0.0672,20.09
319062754126100,611671,-3.3464,3.4421,-8.4191,0.0086,-0.0562,-0.0586,20.13
319062765031000,611682,-3.4122,3.4457,-8.3928,0.0012,-0.0611,-0.0489,20.13
319062776137100,611693,-3.4648,3.4158,-8.3593,-0.0024,-0.0599,-0.0428,20.12
319062787160500,611704,-3.4744,3.4014,-8.3007,0.0024,-0.0574,-0.0171,20.12
319062799069400,611716,-3.4373,3.4217,-8.2863,-0.0049,-0.0562,-0.0037,20.11
319062810164800,611727,-3.3811,3.4792,-8.2672,0.0012,-0.0550,0.0061,20.12
