host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
306737983053400,205754,-1.1055,-8.6572,6.9703,-0.4154,0.0525,-0.0342,19.66
306737994348000,205765,-1.3460,-8.5711,6.7801,-0.3531,-0.0354,-0.1332,19.66
306738005362700,205776,-1.5649,-8.5807,6.8626,-0.3555,-0.1271,-0.2126,19.66
306738017289300,205788,-1.7396,-8.8534,7.2215,-0.3396,-0.1881,-0.2358,19.66
306738028287000,205799,-1.3448,-9.2590,7.5517,-0.1979,-0.1967,-0.1796,19.66
306738039273200,205810,-1.5087,-9.2435,7.6427,0.0244,-0.1100,-0.1429,19.62
306738050574900,205821,-1.1940,-9.4588,7.8162,0.1307,0.0183,-0.0098,19.62
306738062462200,205833,-2.1129,-9.7292,7.8676,0.2676,0.2065,0.1759,19.61
306738073431400,205844,-2.8893,-9.8740,7.8891,0.5461,0.3286,0.3396,19.61
306738084613600,205855,-3.6168,-9.8082,7.5422,0.8283,0.3311,0.5046,19.61
306738096061200,205867,-3.8800,-9.2949,7.4106,1.0495,0.2395,0.6707,19.61
306738107386100,205878,-3.4445,-9.3057,7.5182,1.0605,0.1222,0.8088,19.68
306738118458800,205889,-2.9695,-14.0447,7.9669,1.6286,0.0305,1.0556,19.66
306738129362300,205900,-4.5344,-10.5177,6.4116,3.5956,0.0770,1.5382,19.66
306738141413600,205913,-3.5581,-7.5876,6.1232,4.4459,0.0061,1.9609,19.66
306738152393400,205924,-2.6859,-9.9135,6.7334,4.2040,-0.0538,2.2578,19.66
306738163573400,205935,-3.0114,-8.9527,7.1533,4.6560,-0.0098,2.8136,19.65
306738175232900,205946,-2.6584,-8.8080,7.7563,5.5088,0.1833,3.3524,19.65
306738186380300,205958,-3.2267,-6.8387,7.8867,6.5754,0.4581,3.9560,19.66
306738197442200,205969,-2.7434,-2.5914,6.3781,7.0983,0.8015,4.7305,19.66
306738208416400,205980,-3.1059,-3.6598,6.0407,5.7886,1.2425,4.8185,19.68
306738220302900,205991,-3.9039,-4.0762,6.2596,5.5015,1.2034,4.9724,19.65
306738231376500,206003,-4.4806,-2.0435,5.4281,5.9706,1.0849,5.1875,19.65
306738242412800,206014,-3.6455,-1.6774,5.4975,5.8252,0.9456,5.2192,19.60
306738254114400,206025,-3.4660,-1.4022,5.7081,5.0311,0.8601,5.0396,19.60
306738265317400,206036,-3.4995,0.2524,5.7571,4.3310,0.7110,4.8246,19.62
306738276495700,206048,-2.8235,1.4943,6.1065,3.6017,0.5009,4.7489,19.62
306738287525700,206059,-0.9858,2.2373,8.3390,3.1289,0.6231,5.0225,19.63
306738299239100,206070,1.0648,1.6451,9.3858,4.6206,1.1203,5.0128,19.65
306738310320900,206082,0.2907,4.6636,9.2088,7.2192,1.8326,4.7476,19.65
306738321557800,206093,-2.1787,8.2146,6.6664,7.8411,2.3078,4.2199,19.64
306738332592300,206104,-2.6130,9.5270,6.0634,5.7446,2.1612,3.4819,19.64
306738344343300,206115,-2.6668,8.0842,6.0730,2.7098,1.5492,2.6475,19.63
306738355447000,206127,-2.2385,5.9438,6.4463,0.8943,0.7868,1.8363,19.63
306738366495500,206138,-1.6247,4.6146,7.7181,0.1124,0.1833,1.2511,19.64
306738378213000,206149,-1.4213,3.2136,9.1549,-0.2431,0.0745,0.8344,19.62
306738389333800,206160,-1.8377,3.2447,9.1095,0.1319,0.1857,0.7355,19.62
306738400432000,206172,-1.6187,2.6309,9.3631,0.4007,0.2370,0.7062,19.65
306738411264100,206183,-1.8473,2.7266,9.8608,0.7917,0.3189,0.7746,19.65
306738423149500,206194,-2.5244,2.9743,9.9482,0.9517,0.4117,0.8540,19.65
306738434346300,206205,-2.9587,3.2375,9.7484,0.9529,0.5058,0.8845,19.65
306738445375300,206217,-2.4562,3.2183,9.4840,0.6426,0.5999,0.8968,19.69
306738456550100,206228,-1.9717,3.1250,9.0162,0.3995,0.6878,0.9468,19.69
306738468303800,206239,-1.4536,4.4363,8.1846,0.6903,0.9591,1.0238,19.62
306738479212100,206251,-1.4764,5.3468,7.3388,0.8528,1.0800,1.0018,19.60
306738490181400,206262,-1.4800,6.0395,6.5504,0.6732,1.1044,0.9444,19.60
306738501458100,206273,-1.6666,6.4379,6.4774,0.4215,1.0055,0.8699,19.63
306738513186500,206284,-1.7623,6.9715,6.4187,0.3470,0.8650,0.7550,19.63
306738524446600,206296,-1.5709,7.4608,6.0538,0.1552,0.7172,0.6084,19.63
306738535582400,206307,-1.3543,8.3462,5.7272,-0.2786,0.5046,0.3836,19.63
306738547290700,206318,-1.7324,7.4130,6.1615,-1.2278,0.2138,0.0745,19.64
