host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
2985375668000,192416,-7.9346,-0.5503,-5.6913,0.7074,-1.3402,-0.8491,19.78
2985386771600,192428,-7.8509,-0.5121,-5.7655,2.2150,-4.9688,-1.6689,19.78
2985398527600,192439,-7.7623,-0.3194,-5.7799,0.7074,-1.8680,-0.4264,19.82
2985409734200,192450,-7.8114,-0.2010,-5.7691,0.1075,-0.2639,-0.0305,19.82
2985420730000,192461,-7.8293,-0.3099,-5.7380,0.0293,-0.0220,-0.0012,19.79
2985431679900,192473,-7.8879,-0.3170,-5.7607,-0.0147,-0.0428,0.0098,19.79
2985443550600,192484,-7.8389,-0.3314,-5.7846,-0.0440,-0.0489,0.0281,19.79
2985454739400,192495,-7.8808,-0.4666,-5.9091,-0.1429,-0.0660,0.0684,19.84
2985465492800,192506,-8.0219,-0.4857,-5.7655,-0.1820,-0.1002,0.1100,19.84
2985477477900,192518,-7.9226,-0.3063,-5.7452,-0.1258,-0.0965,0.0782,19.86
2985488523000,192529,-7.9047,-0.1711,-5.6267,-0.1210,-0.1063,0.0489,19.86
2985499558000,192540,-7.8640,-0.1029,-5.5454,-0.1014,-0.1014,0.0147,19.81
2985510783600,192551,-7.7970,-0.1627,-5.4245,-0.1246,-0.0929,-0.0220,19.81
2985522626200,192563,-7.7886,-0.1998,-5.5238,-0.0843,-0.1075,-0.0354,19.82
2985533732600,192574,-7.8185,-0.3099,-5.5561,-0.0623,-0.1539,-0.0342,19.80
2985544767000,192585,-7.9011,-0.3541,-5.4485,-0.0794,-0.2126,-0.0061,19.80
2985556558100,192598,-8.0231,-0.3781,-5.3216,-0.0733,-0.2492,0.0318,19.91
2985567656800,192609,-8.0554,-0.3278,-5.2319,-0.0562,-0.2651,0.0648,19.91
2985578775000,192620,-8.0471,-0.1615,-5.1649,-0.0538,-0.2639,0.0782,19.88
2985589794900,192631,-8.0183,0.0191,-5.1840,-0.0806,-0.2480,0.0648,19.88
2985601625600,192643,-8.1547,0.0156,-5.1960,-0.0831,-0.1772,0.0049,19.88
2985612666100,192654,-8.2110,-0.0443,-5.1625,-0.0843,-0.1466,-0.0354,19.87
2985623740300,192665,-8.2433,-0.0622,-5.1075,-0.0464,-0.1271,-0.0501,19.87
2985635578000,192676,-8.2074,-0.0909,-5.1314,-0.0415,-0.1002,-0.0464,19.87
2985646719600,192688,-8.2672,-0.1711,-5.1721,-0.0428,-0.0843,-0.0342,19.87
2985657830400,192699,-8.2792,-0.1795,-5.1482,-0.0244,-0.0806,-0.0195,19.87
