host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
3108351606200,315389,-5.6566,-6.2620,-4.9627,-0.0293,0.0220,-0.0391,20.69
3108362631200,315401,-5.6183,-6.2022,-5.0740,-0.0281,0.0232,-0.0330,20.67
3108373769300,315412,-5.5872,-6.2273,-5.1458,-0.0171,0.0061,-0.0562,20.67
3108384969700,315423,-5.6100,-6.2644,-5.1135,-0.0024,-0.0183,-0.0867,20.69
3108396758600,315435,-5.5848,-6.2524,-5.0201,0.0012,-0.0293,-0.1136,20.69
3108407888800,315446,-5.4832,-6.2297,-4.9974,-0.0024,-0.0318,-0.1429,20.70
3108418852600,315457,-5.3898,-6.2728,-5.0764,-0.0073,-0.0391,-0.1710,20.70
3108430642500,315468,-5.3551,-6.3087,-5.0369,-0.0073,-0.0538,-0.1796,20.70
3108441622100,315480,-5.3348,-6.2979,-4.9615,-0.0244,-0.0550,-0.1356,20.73
3108452784000,315491,-5.3180,-6.3278,-4.9579,-0.0525,-0.0428,-0.1014,20.73
3108464569700,315502,-5.3480,-6.3553,-5.0512,-0.0794,-0.0428,-0.0709,20.70
3108475685800,315513,-5.4221,-6.2728,-5.1565,-0.0855,-0.0538,-0.0489,20.70
3108486817000,315525,-5.5202,-6.1842,-5.1721,-0.0794,-0.0611,-0.0440,20.66
3108498536100,315536,-5.5502,-6.1831,-5.1386,-0.0733,-0.0599,-0.0489,20.66
3108509695100,315547,-5.5525,-6.1962,-5.1063,-0.0660,-0.0513,-0.0562,20.68
3108520743400,315558,-5.4712,-6.2357,-5.1649,-0.0733,-0.0489,-0.0648,20.68
3108531742500,315570,-5.4556,-6.1854,-5.1912,-0.0965,-0.0574,-0.0648,20.70
3108543596400,315581,-5.4568,-6.1220,-5.2391,-0.0733,-0.0660,-0.0648,20.70
3108554604100,315592,-5.4544,-6.1161,-5.2618,-0.0415,-0.0770,-0.0672,20.70
3108565582900,315604,-5.4712,-6.1962,-5.2199,-0.0183,-0.0904,-0.0684,20.69
3108577658200,315616,-5.4867,-6.2142,-5.1266,-0.0073,-0.0977,-0.0611,20.69
3108588722700,315627,-5.4808,-6.1819,-5.0895,-0.0147,-0.0977,-0.0476,20.70
3108599635100,315638,-5.4712,-6.0933,-5.1087,-0.0293,-0.0953,-0.0403,20.70
