host_timestamp,x,y,z,in_range,touch,pressure,reset
575726755703700,-67.0,669.0,0,0,0,0,0
575726781414600,-67.0,669.0,0,0,0,0,0
575726799216300,-67.0,669.0,0,0,0,0,0
575726818192000,-67.0,669.0,0,0,0,0,0
575726832929000,-67.0,669.0,0,0,0,0,0
575726850450300,-67.0,669.0,0,0,0,0,0
575726866723500,-67.0,669.0,0,0,0,0,0
575726884620400,-67.0,669.0,0,0,0,0,0
575726900881900,-67.0,669.0,0,0,0,0,0
575726917919500,-67.0,669.0,0,0,0,0,0
575726933396900,-67.0,669.0,0,0,0,0,0
575726951722300,-67.0,669.0,0,0,0,0,0
575726967144400,-67.0,669.0,0,0,0,0,0
575726984502800,-67.0,669.0,0,0,0,0,0
575727000955600,-67.0,669.0,0,0,0,0,0
575727016639200,-67.0,669.0,0,0,0,0,0
575727032596800,-67.0,669.0,0,0,0,0,0
575727050543500,-67.0,669.0,0,0,0,0,0
575727065671400,-67.0,669.0,0,0,0,0,0
575727083125000,-67.0,669.0,0,0,0,0,0
575727099523000,-67.0,669.0,0,0,0,0,0
575727116608100,-67.0,669.0,0,0,0,0,0
575727132348400,-67.0,669.0,0,0,0,0,0
575727151132200,-67.0,669.0,0,0,0,0,0
575727165665500,-67.0,669.0,0,0,0,0,0
575727183636800,-67.0,669.0,0,0,0,0,0
575727198688100,-67.0,669.0,0,0,0,0,0
575727215131800,-67.0,669.0,0,0,0,0,0
575727234240300,-67.0,669.0,0,0,0,0,0
575727249558600,-67.0,669.0,0,0,0,0,0
575727266877100,-67.0,669.0,0,0,0,0,0
575727283532600,-67.0,669.0,0,0,0,0,0
575727300500600,-67.0,669.0,0,0,0,0,0
575727315887700,-67.0,669.0,0,0,0,0,0
575727332859000,-67.0,669.0,0,0,0,0,0
575727349064000,-67.0,669.0,0,0,0,0,0
575727365529400,-67.0,669.0,0,0,0,0,0
575727382622900,-67.0,669.0,0,0,0,0,0
575727399365200,-67.0,669.0,0,0,0,0,0
575727415492100,-67.0,669.0,0,0,0,0,0
575727432687600,-67.0,669.0,0,0,0,0,0
575727449000400,-67.0,669.0,0,0,0,0,0
575727465541300,-67.0,669.0,0,0,0,0,0
575727482603800,-67.0,669.0,0,0,0,0,0
575727498272000,-67.0,669.0,0,0,0,0,0
575727515880300,-67.0,669.0,0,0,0,0,0
